Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97328882406338,0,12485.525401949484,0,11974.404230048283
Incremental join,15000,8000,1,1,1,1,1,97328890691312,84938.76259506572,19556.938683960023,15574.62954228334,3586.0196885128867
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97328895323323,0,7213.59031141457,0,7183.077605250663
Filter,15000,8000,1,1,1,1,1,97328886091083,88816.56413526251,44321.93263027752,7105.2675629269,3545.7258824439373
Sink,15000,8000,1,1,1,1,1,97328888183743,655601.1555725678,0.0,3544.5885965734365,0.0
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97338905501363,0,15384.142957296013,0,14999.65695841934
Incremental join,15000,8000,1,1,1,1,1,97338908425022,99941.41129837465,11569.88306646658,19006.001466342732,2200.261249765381
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97338962831222,0,7988.2846118223015,0,7943.609532151563
Sink,15000,8000,1,1,1,1,1,97339120078592,668631.9380251135,0.0,2197.8352852134008,0.0
Filter,15000,8000,1,1,1,1,1,97339493959279,101609.30530140437,50809.081063773956,8030.034709215331,4015.367325612463
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97348906730787,0,15445.398760806644,0,15000.033952624151
Incremental join,15000,8000,1,1,1,1,1,97348910478055,100632.11275776022,11739.39664229899,18974.322584391535,2213.4793033044702
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97349134439872,0,8015.171472267124,0,7989.620206442704
Filter,15000,8000,1,1,1,1,1,97349497318142,97681.53958629319,48557.98215566464,8030.795894639538,3992.1488277034814
Sink,15000,8000,1,1,1,1,1,97349533228514,674563.2960546041,0.0,2351.468537204093,0.0
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97358907896198,0,15471.419380902427,0,15012.937987663843
Incremental join,15000,8000,1,1,1,1,1,97358912867726,99555.56324406213,12775.532244408616,18977.16216666139,2435.256647317639
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97359247920841,0,8020.068040772781,0,7993.249085782178
Filter,15000,8000,1,1,1,1,1,97359499511465,101871.86433964878,50706.07515627004,7999.587279415563,3981.7438940431375
Sink,15000,8000,1,1,1,1,1,97359574398935,672531.1709862998,0.0,2534.8700467450612,0.0
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97368908437878,0,15439.106999448037,0,14993.432746758364
Incremental join,15000,8000,1,1,1,1,1,97368914156035,100471.3177666536,12844.018741940981,18998.185930764652,2428.6837435968064
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97369356867250,0,8038.404330042543,0,7990.230440860651
Filter,15000,8000,1,1,1,1,1,97369502981442,96434.03985268064,48267.04696052768,7999.046368324773,4003.672845078239
Sink,15000,8000,1,1,1,1,1,97369653414712,674332.0946563589,0.0,2384.397807193532,0.0
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97378912245600,0,15444.333221368206,0,15040.028695041628
Incremental join,15000,8000,1,1,1,1,1,97378921012721,98342.26205781852,12258.498938618173,19038.880126429176,2373.2227319023277
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97379469612709,0,8016.028644951819,0,7992.29974197954
Filter,15000,8000,1,1,1,1,1,97379507518055,102236.22570628427,51186.72435876129,8045.685311428607,4028.2421760813886
Sink,15000,8000,1,1,1,1,1,97379762029153,676293.987521955,0.0,2407.463115519331,0.0
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,97388912998198,0,15396.022651890387,0,14993.230380887358
Incremental join,15000,8000,1,1,1,1,1,97388923372412,99492.70789526305,12592.565111909122,19039.48374959588,2409.784032276166
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,97389494672352,0,8020.794819944348,0,7999.970957194546
Filter,15000,8000,1,1,1,1,1,97389511560858,106136.31276937612,52850.480110550096,8041.667271442654,4004.3408810379374
