Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64043446946140,0,8159.996937026504,0,7977.802751484111
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64043465387528,0,17166.287676831376,0,14983.732370382024
Filter,15000,8000,1,1,1,1,1,64043458332378,81078.90501442712,40479.77170031869,7945.850570661304,3967.07647948604
Incremental join,15000,8000,1,1,1,1,1,64043465590162,80985.72432650479,12628.909233116878,18850.596857055214,2939.560998899607
Sink,15000,8000,1,1,1,1,1,64043448737876,513281.64036432013,0.0,2934.7434374247314,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64053528723343,0,8153.9257606549745,0,8004.477350803802
Filter,15000,8000,1,1,1,1,1,64053547478725,80029.70538438928,39897.0356745117,8014.412399988775,3995.4076539056246
Incremental join,15000,8000,1,1,1,1,1,64053560098079,86889.38139088881,9924.236481753725,19017.064755400654,2172.070335872023
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64053544521846,0,16490.354105300332,0,14979.84468954041
Sink,15000,8000,1,1,1,1,1,64053629356389,680470.5698358299,0.0,2253.326000504919,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64063543774595,0,8092.602654585774,0,8000.159616794285
Filter,15000,8000,1,1,1,1,1,64063551928465,86419.85378400888,43023.03831931717,8045.359140481377,4005.280956141214
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64063563067128,0,16390.453986697914,0,14992.32682216343
Incremental join,15000,8000,1,1,1,1,1,64063566631391,89365.26646421809,10856.869168811767,19000.72555394979,2308.373259697372
Sink,15000,8000,1,1,1,1,1,64063710433331,592007.677483523,0.0,2394.591234074679,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64073544100197,0,8197.9796648893,0,8015.411070873712
Filter,15000,8000,1,1,1,1,1,64073555272704,89444.74560520407,44590.142275583596,8013.256658680386,3994.7819414507553
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64073564123179,0,16328.76348059931,0,15006.469473060875
Incremental join,15000,8000,1,1,1,1,1,64073573575349,90316.00597343789,11470.800311095394,19025.652511490483,2416.398493217055
Sink,15000,8000,1,1,1,1,1,64073863418442,677610.4439105403,0.0,2387.0482429800813,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64083548794767,0,8197.609084076592,0,8013.328705248695
Filter,15000,8000,1,1,1,1,1,64083560876577,82935.4514604453,41506.01445681524,8014.020510483962,4010.7100800434378
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64083564749782,0,16514.781273053,0,14999.438627723153
Incremental join,15000,8000,1,1,1,1,1,64083583001721,88897.64361145825,11138.885066082174,19034.18321386547,2384.985366683784
Sink,15000,8000,1,1,1,1,1,64084578774309,676043.7118480217,0.0,2463.629249838927,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64093553344221,0,8141.474592492685,0,8043.253668017329
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64093565568588,0,16266.33647191232,0,15006.415195748315
Filter,15000,8000,1,1,1,1,1,64093564512562,85166.66967017205,42664.615948772516,8015.427432183998,4015.363455959535
Incremental join,15000,8000,1,1,1,1,1,64093585120434,92020.5268406779,11684.800190687101,18987.59784827847,2411.0521269062947
Sink,15000,8000,1,1,1,1,1,64094634165238,685017.0691900903,0.0,2617.1280243636133,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64103557655812,0,8210.763847141061,0,8036.974451847143
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64103566150070,0,16393.580011355672,0,14992.6706590914
Filter,15000,8000,1,1,1,1,1,64103573994799,81607.04785966741,40641.17367906239,8059.609321690335,4013.770756558552
Incremental join,15000,8000,1,1,1,1,1,64103590371447,90586.80470011517,11702.216029683026,18996.57090733386,2454.021612935089
Sink,15000,8000,1,1,1,1,1,64104724461022,672719.3444407405,0.0,2376.4869689953875,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64113558431518,0,8214.339695206505,0,8009.743248438637
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64113567026212,0,16305.413698583741,0,15006.925678050631
Filter,15000,8000,1,1,1,1,1,64113586856140,83334.84966954275,41630.06983691173,8029.680140537063,4011.2407515482996
Incremental join,15000,8000,1,1,1,1,1,64113593849104,89303.51491331958,10776.98979712463,19007.333049969508,2293.77124236259
Sink,15000,8000,1,1,1,1,1,64114855431279,671404.7110998313,0.0,2286.005796129884,0.0
Source: Custom Source: Persons,15000,8000,1,1,1,1,1,64123559301525,0,8143.757160809201,0,7965.664402107827
Source: Custom Source: Auctions,15000,8000,1,1,1,1,1,64123567387459,0,16256.110756958053,0,14988.350408157623
Filter,15000,8000,1,1,1,1,1,64123592349228,81912.51691740123,40731.661597917075,8022.566086179848,3989.2858779899743
Incremental join,15000,8000,1,1,1,1,1,64123598070444,91429.97537119419,10396.093346732518,18991.231282140117,2159.407922587266
