Session Window -> DummyLatencySink,40000,1,1,1,1,3671110381509554,23802.69896589525,0.0,22451.112411859092,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671110379679738,0,229343.36357663156,0,22717.866953389614
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671120399407908,0,287208.6979412705,0,22541.592350998726
Session Window -> DummyLatencySink,40000,1,1,1,1,3671120420478782,23347.52139037421,0.0,22583.92486765959,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671130409790230,0,285974.79314197577,0,21933.90314772575
Session Window -> DummyLatencySink,40000,1,1,1,1,3671130444804420,22837.90511895932,0.0,21987.865614470567,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671140414734788,0,289270.6291736649,0,22066.21529817142
Session Window -> DummyLatencySink,40000,1,1,1,1,3671140468221565,23269.039287423526,0.0,22443.505571127786,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671150425024854,0,289029.8896040061,0,23323.92622626531
Session Window -> DummyLatencySink,40000,1,1,1,1,3671150478844871,23770.763698219096,0.0,22955.82595541971,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671160450384646,0,284587.47145322466,0,22547.606882166892
Session Window -> DummyLatencySink,40000,1,1,1,1,3671160529540941,23422.823761719083,0.0,22551.52619019286,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671170454622942,0,286166.20642981055,0,21814.94726354854
Session Window -> DummyLatencySink,40000,1,1,1,1,3671170546560741,22680.26092134837,0.0,21842.481850530145,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671180466144520,0,284455.81467862986,0,22713.153556090485
Session Window -> DummyLatencySink,40000,1,1,1,1,3671180560260032,23625.990617602234,0.0,22735.87966431311,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671190475414922,0,286789.01388019294,0,21972.74388638156
Session Window -> DummyLatencySink,40000,1,1,1,1,3671190589499429,22901.832921515645,0.0,22080.357991895387,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671200481162671,0,287228.6315309663,0,21807.567297439156
Session Window -> DummyLatencySink,40000,1,1,1,1,3671200606718662,23030.39876584338,0.0,22147.77881750381,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671210501423313,0,288376.58576397575,0,21953.70607548913
Session Window -> DummyLatencySink,40000,1,1,1,1,3671210617635041,22315.11301424946,0.0,21524.466418118853,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671220507283951,0,284725.0452476578,0,22332.819799955414
Session Window -> DummyLatencySink,40000,1,1,1,1,3671220661455539,23180.486032563,0.0,22377.941912490245,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671230524849054,0,284688.28929050855,0,22549.976010743252
Session Window -> DummyLatencySink,40000,1,1,1,1,3671230671925284,23422.051655714204,0.0,22549.133025742703,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671240531083404,0,287036.13749284326,0,21997.048574887318
Session Window -> DummyLatencySink,40000,1,1,1,1,3671240712312897,22856.71001623365,0.0,22073.216265171755,0.0
Source: Custom Source -> Timestamps-Watermarks,40000,1,1,1,1,3671250540754131,0,274476.2848214904,0,22061.704332379308
Session Window -> DummyLatencySink,40000,1,1,1,1,3671250753142981,23089.772329508876,0.0,22244.9824094983,0.0
