Source: Bids Source,1,14,Source: Bids Source,0.8,40000,1,1,1,1,5257965516630255,0,40822.59973640183,0,39958.8507957858
Mapper,1,14,Mapper,0.8,40000,1,1,1,1,5257965526181820,321737.02702698315,321738.6416255857,39849.63819547225,39849.83817609226
Latency Sink,1,14,Latency Sink,0.8,40000,1,1,1,1,5257965562078170,4152513.2354815407,0.0,40527.49339629291,0.0
Source: Bids Source,1,15,Source: Bids Source,0.8,40000,1,1,1,1,5257975518619958,0,40602.2520170216,0,39963.66296107928
Mapper,1,15,Mapper,0.8,40000,1,1,1,1,5257975528497633,327556.6738602558,327558.30270128784,40216.65606436445,40216.85604972514
Latency Sink,1,15,Latency Sink,0.8,40000,1,1,1,1,5257975565941865,4490991.451811399,0.0,40492.50721835377,0.0
Source: Bids Source,1,16,Source: Bids Source,0.8,40000,1,1,1,1,5257985518992488,0,39926.02932363465,0,39924.24948843502
Mapper,1,16,Mapper,0.8,40000,1,1,1,1,5257985530773636,371838.02580123756,371839.88329640223,40033.76540557969,40033.96539191918
Latency Sink,1,16,Latency Sink,0.8,40000,1,1,1,1,5257985570496017,4570105.059215268,0.0,40072.40318626687,0.0
Source: Bids Source,1,17,Source: Bids Source,0.8,40000,1,1,1,1,5257995519895044,0,40594.246648268636,0,40054.57178297943
Mapper,1,17,Mapper,0.8,40000,1,1,1,1,5257995533078237,328246.7874665654,328248.4414277339,39688.896978864504,39689.09696222133
Latency Sink,1,17,Latency Sink,0.8,40000,1,1,1,1,5257995572873085,4404127.43905437,0.0,39525.52764411612,0.0
Source: Bids Source,1,18,Source: Bids Source,0.8,40000,1,1,1,1,5258005520741755,0,40552.66011084895,0,39865.11093971371
Mapper,1,18,Mapper,0.8,40000,1,1,1,1,5258005535910079,338721.2659479203,338722.944318838,40360.220471818284,40360.42045755016
Latency Sink,1,18,Latency Sink,0.8,40000,1,1,1,1,5258005576906210,4543301.0658079935,0.0,40613.02965722882,0.0
Source: Bids Source,1,19,Source: Bids Source,0.8,40000,1,1,1,1,5258015522972631,0,40123.75403139787,0,40105.73258816423
Mapper,1,19,Mapper,0.8,40000,1,1,1,1,5258015538095366,367506.9193799097,367508.7544738317,40051.88652241263,40052.08651585397
Latency Sink,1,19,Latency Sink,0.8,40000,1,1,1,1,5258015580338776,4127400.7660575085,0.0,40080.806647874575,0.0
