Source: Bids Source,0.1,40000,1,1,1,1,282136906326910,0,40919.06984716361,0,39762.997061830414
Mapper,0.1,40000,1,1,1,1,282136889020255,186342.30709282862,186343.70338252673,39692.41009198693,39692.70751292246
Latency Sink,0.1,40000,1,1,1,1,282136892659485,729851.1999105285,0.0,39735.538206266036,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282146970128520,0,43865.89156271704,0,40000.19545148915
Mapper,0.1,40000,1,1,1,1,282146978124279,164700.89627779828,164701.71828212176,40066.187734410596,40066.387700411324
Latency Sink,0.1,40000,1,1,1,1,282146987299783,656691.3435739441,0.0,40085.24810028197,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282156973728799,0,46539.29758946968,0,40036.37570821601
Mapper,0.1,40000,1,1,1,1,282156983235393,150529.90898846887,150530.66232920394,39945.65615546962,39945.85606716939
Latency Sink,0.1,40000,1,1,1,1,282156993431110,611547.8778410302,0.0,39960.822329866154,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282166973999349,0,55273.36310941239,0,39996.30875635031
Mapper,0.1,40000,1,1,1,1,282166994991684,129156.1914379841,129156.8366285919,40024.11810654417,40024.31804419176
Latency Sink,0.1,40000,1,1,1,1,282167014935866,727265.5643662942,0.0,40064.33196441149,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282176975153569,0,55423.1386543069,0,39998.67237138559
Mapper,0.1,40000,1,1,1,1,282177005448026,125862.84582278329,125863.47342053255,40089.66352990898,40089.863431495796
Latency Sink,0.1,40000,1,1,1,1,282177031580719,707411.3550858237,0.0,40174.80686512779,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282186975680027,0,55477.32049555029,0,40033.449000599154
Mapper,0.1,40000,1,1,1,1,282187014951383,127924.11376621701,127924.75221523189,40066.28890282677,40066.48886733641
Latency Sink,0.1,40000,1,1,1,1,282187052501916,659584.2366161561,0.0,40131.93393400105,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282196977422594,0,55870.882674104614,0,39998.16356772466
Mapper,0.1,40000,1,1,1,1,282197021341063,127614.87506891112,127615.51315445296,39996.49213026263,39996.692116223036
Latency Sink,0.1,40000,1,1,1,1,282197067160776,698601.0251966295,0.0,40056.76906922601,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282206978019206,0,55773.22895834171,0,39962.09850344797
Mapper,0.1,40000,1,1,1,1,282207026393611,128912.23509361813,128912.87730590218,40140.773735384224,40140.97370785359
Latency Sink,0.1,40000,1,1,1,1,282207080809436,637229.9883493272,0.0,40364.58456901791,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282216978661232,0,54331.71457402023,0,39998.391256726
Mapper,0.1,40000,1,1,1,1,282217033374760,126911.1612583522,126911.79631267613,39965.909195248656,39966.10918178406
Latency Sink,0.1,40000,1,1,1,1,282217092573759,727062.6410440087,0.0,39889.049302225896,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282226979251595,0,55763.13888180623,0,39997.848055918264
Mapper,0.1,40000,1,1,1,1,282227040911833,125916.48615162396,125917.1125799879,40199.17710610356,40199.37709504477
Latency Sink,0.1,40000,1,1,1,1,282227108973724,700314.8263902138,0.0,40240.21393459979,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282236980049112,0,56365.345376453784,0,39989.88295421374
Mapper,0.1,40000,1,1,1,1,282237049132843,127636.88134189883,127637.5204914213,39922.578290139594,39922.77820490233
Latency Sink,0.1,40000,1,1,1,1,282237127523794,745847.3214581115,0.0,39991.140994031266,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282246982717437,0,56316.80328987256,0,40032.710436738314
Mapper,0.1,40000,1,1,1,1,282247057128762,125996.24184021154,125996.87204199139,39977.199535228196,39977.39949121047
Latency Sink,0.1,40000,1,1,1,1,282247142295527,696502.8621057041,0.0,39989.75020332626,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282256983955402,0,56000.35535743819,0,39998.21197287014
Mapper,0.1,40000,1,1,1,1,282257065005587,128695.20504500809,128695.84665235193,40113.52408595458,40113.72407111822
Latency Sink,0.1,40000,1,1,1,1,282257156078202,710300.8499466355,0.0,40211.534694542854,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282266984791890,0,56266.06491493093,0,40032.194324486925
Mapper,0.1,40000,1,1,1,1,282267071445100,125465.45290809394,125466.08012873094,40004.02519679987,40004.22518292822
Latency Sink,0.1,40000,1,1,1,1,282267167992175,713232.9691783752,0.0,40039.12200799105,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282276986105951,0,51117.337606480454,0,39996.63624371539
Mapper,0.1,40000,1,1,1,1,282277075506137,119858.94170184995,119859.53570105555,40351.07829388454,40351.27826651997
Latency Sink,0.1,40000,1,1,1,1,282277184619385,601945.8734196557,0.0,40507.85720617066,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282286987134182,0,49243.57268512274,0,40034.87790237295
Mapper,0.1,40000,1,1,1,1,282287080162559,142099.21468324037,142099.9158814258,40522.62306837574,40522.82302999994
Latency Sink,0.1,40000,1,1,1,1,282287198765914,624693.822445318,0.0,41535.14577010285,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282296987956175,0,40598.52510781867,0,39996.68340760176
Mapper,0.1,40000,1,1,1,1,282297085986371,192646.0138013003,192646.9788553214,39921.269681425365,39921.46966574413
Latency Sink,0.1,40000,1,1,1,1,282297207873842,739379.9048990742,0.0,40004.50406982645,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282306989192900,0,40683.0116118864,0,40035.389121254004
Mapper,0.1,40000,1,1,1,1,282307090895052,191046.17090006548,191047.1218043057,40173.93304612258,40174.13300597051
Latency Sink,0.1,40000,1,1,1,1,282307217049963,738297.9527769813,0.0,40237.06166834232,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282316989859935,0,40520.90311154274,0,40022.463349923484
Mapper,0.1,40000,1,1,1,1,282317096793001,195379.64925526758,195380.62006411536,40240.13153557641,40240.3314820697
Latency Sink,0.1,40000,1,1,1,1,282317226664277,724117.8136249424,0.0,40103.13200410396,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282326993625917,0,40478.87681815013,0,39999.51709345188
Mapper,0.1,40000,1,1,1,1,282327108287707,192782.8129109284,192783.77288908252,40157.451853617335,40157.65182101029
Latency Sink,0.1,40000,1,1,1,1,282327308792121,748512.4986191317,0.0,39944.442220985395,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282336994128965,0,40773.356463500466,0,40035.399161803354
Mapper,0.1,40000,1,1,1,1,282337114007551,190546.53230733683,190547.48437117352,40026.232984367685,40026.43297503916
Latency Sink,0.1,40000,1,1,1,1,282337998414858,743551.119389763,0.0,40145.33773140299,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282346994885627,0,40322.937413044834,0,39889.20286248249
Mapper,0.1,40000,1,1,1,1,282347126084145,193823.87962888717,193824.84344249143,40217.966113181225,40218.16610207294
Latency Sink,0.1,40000,1,1,1,1,282348010285115,739037.7992398404,0.0,40085.902754188755,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282356995611161,0,40670.30669576996,0,39999.952384175725
Mapper,0.1,40000,1,1,1,1,282357129691051,191477.16054983257,191478.1154338392,40103.8643166897,40104.0643120235
Latency Sink,0.1,40000,1,1,1,1,282358016380441,738948.3406822293,0.0,40101.83272944315,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282366995999813,0,40345.46790432562,0,39999.36259893775
Mapper,0.1,40000,1,1,1,1,282367132311607,192912.58644532837,192913.55086841923,40000.7779463297,40000.977921223064
Latency Sink,0.1,40000,1,1,1,1,282368024135279,736386.9288565202,0.0,40175.62529329341,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282376996568209,0,40494.24425828129,0,40033.60584274995
Mapper,0.1,40000,1,1,1,1,282377138531674,191471.72413020156,191472.67854921165,40121.85244339073,40122.05243667363
Latency Sink,0.1,40000,1,1,1,1,282378033306617,729446.4454683758,0.0,40155.43996499779,0.0
Source: Bids Source,0.1,40000,1,1,1,1,282386997550854,0,40121.34958155151,0,39996.070318097925
Mapper,0.1,40000,1,1,1,1,282387142668686,195507.35119636878,195508.32611546697,40100.945127307015,40101.14509511908
